concept,field,level
symmetric encryption,cybersecurity,understand
asymmetric encryption,cybersecurity,understand
digital signature,cybersecurity,understand
hash function,cybersecurity,understand
network access control,cybersecurity,understand
secure shell,cybersecurity,understand
secure socket layer,cybersecurity,understand
transport layer security,cybersecurity,understand
primary key,database system,understand
foreign key,database system,understand
data-definition language,database system,understand
data-manipulation language,database system,understand
integrity constraints,database system,understand
domain constraints,database system,understand
unique constraint,database system,understand
producer surplus,microeconomics,understand
consumer surplus,microeconomics,understand
oligopoly,microeconomics,understand
monopoly,microeconomics,understand
budget surplus,macroeconomics,understand
budget deficit,macroeconomics,understand
firm-specific risk,macroeconomics,understand
market risk,macroeconomics,understand
sensory memory,psychology,understand
working memory,psychology,understand
long-term memory,psychology,understand
intrinsic motivation,psychology,understand
extrinsic motivation,psychology,understand
somatic symptiom disorders,psychology,understand
bipolar disorders,psychology,understand
schizophrenia,psychology,understand
